,SMILES molecule,Generation,Metric 1
0,C1C(C2CC3C(O2)OC(C3)OCC)CCCC1,0,0.1407942238267148
1,C1(N(C2=CC=CC=C2[N+](=C1C1C=C(C(=CC=1)OC)OC)[O-])OCC(=O)OCC)=O,0,0.35785953177257523
2,C1C=C(C=CC=1F)CN1C2N(C3C(N(C)CN(C=3N=2)C)=O)C(C(CCC)=C1O)=O,0,0.3954010095344924
3,C(=O)(C1C(O)=C2C(N(C(C(=C2)C2C=CC=CC=2)=O)CC2C=CC=CC=2)=C(N=1)C1C=NN=CC=1)NCCC(O)=O,0,0.4038128249566724
4,COCCOC(C1NC2CC(C3=CC=C(OC)C=C3)CC(=O)C=2C=1C)=O,0,0.3504273504273504
3,C1(N=C(C(=C2C=1N(CC1=CC=CC=C1)C(=O)C(C1C=CC=CC=1)=C2)O)C(NCCC(O)=O)=O)C1=CC=NN=C1,1,0.4038128249566724
4,C12=C(N=C(C(O)=C2C=C(C2C=CC=CC=2)C(=O)N1CC1C=CC=CC=1)C(=O)NCCC(=O)O)C1CN=CC=1,2,0.4078801331853496
2,O=C(NCCC(O)=O)C1C(O)=[B-]2C(N(CC3C=CC=CC=3)C(=O)C(C3C=CC=CC=3)=C2)=C(C2=CC=NC2)N=1,3,0.41243862520458263
0,N1(C(=O)C(=C[B-]2C1=C(N=C(C(=O)NCCC(=O)O)C=2O)C1=CC=NC1)C1C=CC=CC=1)CC1=CC=CC=C1,4,0.41243862520458263
0,O=C(NCCC(O)=O)C1=NC(C2=CC=NC2)=C2N(CC3C=CC=CC=3)C(=O)C(C3C=CC=CC=3)=C[B-]2=C1O,5,0.41243862520458263
2,C1C(=CC=CC=1)C1C([O+](CC2=CC=CC=C2)C2=C(N=C(C(=O)NCCC(=O)O)C(O)=[B-]2C=1)C1CN=CC=1)=O,6,0.4153846153846154
2,OC1C(=NC(=C2[B-]=1C=C(C1=CCN=C=C1)C(=O)[O+]2CC1=CC=CC=C1)C1CN=CC=1)C(=O)NCCC(=O)O,7,0.42257360959651036
0,C1=CC(=CCN=1)C1=C[B-]2=C(O)C(C(=O)NCCC(=O)O)=NC(=C2[O+](CC2C=CC=CC=2)C1=O)C1CN=CC=1,8,0.42257360959651036
0,C(C(O)=O)CNC(C1=NC(=C2[O+](C(=O)C(C3=CCN=C=C3)=C[B-]2=C1O)CC1C=CC=CC=1)C1CN=CC=1)=O,9,0.42257360959651036
0,C(C1=CC=CC=C1)[O+]1C2[B-](=C(O)C(C(=O)NCCC(O)=O)=NC=2C2=CC=NC2)C=C(C2C=C=NCC=2)C1=O,10,0.42257360959651036
0,C1=C(C2=CCN=C=C2)C(=O)[O+](C2=C(N=C(C(=O)NCCC(=O)O)C(O)=[B-]12)C1=CC=NC1)CC1C=CC=CC=1,11,0.42257360959651036
0,C1=NCC=C(C2C(=O)[O+](C3=C(N=C(C(=O)NCCC(O)=O)C(=[B-]3C=2)O)C2=CC=NC2)CC2=CC=CC=C2)C=1,12,0.42257360959651036
1,C(C(O)=O)CNC(C1C(=[B-]2C(=C(N=1)C1CN=CC=1)[O+](C(C(C1=CCN=C=C1)=C2)=O)CC1=CC=CC=C1)O)=O,13,0.42257360959651036
2,C1(C=C=NCC=1)C1=C[B-]2=C(C(C(NCCC(O)=O)=O)=NC(C3CN=CC=3)=C2[O+](C1=O)CC1=CC=CC=C1)O,14,0.42257360959651036
1,C1C(=CC=N1)C1N=C(C(O)=[B-]2C=1[O+](CC1C=CC=CC=1)C(=O)C(C1=CCN=C=C1)=C2)C(NCCC(=O)O)=O,15,0.42257360959651036
2,C1N=C=CC(=C1)C1C(=O)[O+](C2=C(N=C(C(=O)NCCC(O)=O)C(=[B-]2C=1)O)C1=CC=NC1)CC1=CC=CC=C1,16,0.42257360959651036
