,SMILES molecule,Generation,Metric 1
0,C1(C=C(S(=O)(N(C)N=CC2=C3C=C(C=CN3N=C2)C#N)=O)C(=CC=1)C)C(F)(F)F,0,0.34285714285714286
1,O([N+]([O-])=O)CCOC1=CC=C(C=C1OC)C=CC(=O)NCCCNC1=C2C(=NC3C1=CC=CC=3)CCCC2,0,0.43728100911002105
2,C1C=C(N=C(C=1C1N(C2C(N(C3=CC(=CC=C3C)Cl)C(C=2N=1)=O)C1C=CC(Cl)=CC=1)C(C)C)OC)OC,0,0.42951541850220265
3,O=C(C1CCN(C2C=CN=CC=2)CC1)NC1C=C(C=CC=1)OCC1=CC=CC=C1F,0,0.28431372549019607
4,N1N=C(SCCOC2=CC=C(OC)C=C2)N(C=1CCNC(=O)C1C=CC(OC)=CC=1)C,0,0.2922230950510605
1,C1CCCC2C1=NC1C(=CC=CC=1)C=2NCCCNC(C=CC1C=C(OC)C(=CC=1)OCCO[N+](=O)[O-])=O,1,0.43728100911002105
0,C(CNC1C2C(N=C3CCCCC3=1)=CC=CC=2)CNC(=O)C=CC1=CC=C(C(OC)=C1)OCCO[N+]([O-])=O,2,0.43728100911002105
0,C(=CC1C=C(C(OCCO[N+](=O)[O-])=CC=1)OC)C(=O)NCCCNC1C2=CC=CC=C2N=C2CCCCC2=1,3,0.43728100911002105
0,C(=CC(=O)NCCCNC1C2C(=CC=CC=2)N=C2C=1CCCC2)C1=CC=C(C(OC)=C1)OCCO[N+]([O-])=O,4,0.43728100911002105
0,[O-][N+](=O)OCCOC1=CC=C(C=CC(NCCCNC2C3=CC=CC=C3N=C3CCCCC=23)=O)C=C1OC,5,0.43728100911002105
0,C12CCCCC1=NC1C(C=2NCCCNC(C=CC2C=C(C(=CC=2)OCCO[N+]([O-])=O)OC)=O)=CC=CC=1,6,0.43728100911002105
2,[O-][N+](=O)OCCOC1C(=CC(C=CC(NCCCNC2=C3C(=NC4=C2CCCC4)PCC=C3)=O)=CC=1)OC,7,0.4393063583815029
