,SMILES molecule,Generation,Metric 1
0,C1=CN2C(=C(C=N2)C=NN(C)S(C2=CC(=CC=C2C)C(F)(F)F)(=O)=O)C=C1C#N,0,0.23207542300224304
1,C(CNC1C2=CC=CC=C2N=C2C=1CCCC2)CNC(C=CC1=CC=C(C(OC)=C1)OCCO[N+](=O)[O-])=O,0,1.0246263473095985e-12
2,C1(OC)=CC=C(C2N(C3=C(C(=O)N(C3C3C=CC(=CC=3)Cl)C3C(=CC=C(Cl)C=3)C)N=2)C(C)C)C(OC)=N1,0,2.513845345220034e-07
3,C1=CC(N2CCC(C(=O)NC3=CC=CC(OCC4C(=CC=CC=4)F)=C3)CC2)=CC=N1,0,0.001321381889283657
4,C1(OC)C=CC(=CC=1)C(NCCC1=NN=C(SCCOC2C=CC(=CC=2)OC)N1C)=O,0,0.00015152797277551144
0,N(N=CC1C=NN2C=1C=C(C#N)C=C2)(C)S(=O)(C1=CC(C(F)(F)F)=CC=C1C)=O,1,0.23207542300224304
4,C(C1=CC(=C=NN(S(=O)(C2=CC(C(CF)F)=CC=C2C)=O)C)N(C=C1)N=C)#N,2,0.28878867626190186
0,N1(C(=C=NN(C)S(C2=CC(C(F)CF)=CC=C2C)(=O)=O)C=C(C=C1)C#N)N=C,3,0.28878867626190186
4,S(N(N=C=C1N(N=C)C=CC(C#N)=C1)C)(=O)C1C(C)=CC=C(C(CF)F)C=1,4,0.3024198114871979
0,N#CC1C=CN(C(=C=NN(C)S(C2=CC(C(CF)F)=CC=C2C)=O)C=1)N=C,5,0.3024198114871979
0,C(=NN(S(=O)C1=CC(=CC=C1C)C(CF)F)C)=C1C=C(C=CN1N=C)C#N,6,0.3024198114871979
0,C1(C(CF)F)C=C(C(C)=CC=1)S(N(N=C=C1C=C(C=CN1N=C)C#N)C)=O,7,0.3024198114871979
0,C(=C1N(N=C)C=CC(C#N)=C1)=NN(S(=O)C1C(C)=CC=C(C(CF)F)C=1)C,8,0.3024198114871979
0,FCC(F)C1C=C(C(=CC=1)C)S(=O)N(C)N=C=C1C=C(C=CN1N=C)C#N,9,0.3024198114871979
2,C1(C(CF)F)C=C(S(=O)N(C)[P-]=C=C2C=C(C=CN2N=C)C#N)C(=CC=1)C,10,0.3513616919517517
2,S(=O)(C1=CC(=CC=C1C)C(=S)CF)N([P-]=C=C1N(N=C)C=CC(=C1)C#N)C,11,0.3647068738937378
0,S=C(C1C=C(S(N([P-]=C=C2C=C(C=CN2N=C)C#N)C)=O)C(C)=CC=1)CF,12,0.3647068738937378
2,C1(=CC(C(=S)CF)=CC=C1C)S(N([P-]=C=C1C=C(C=CN1N=C)C#N)C)=O,13,0.3647068738937378
2,C1=C(C#N)C=CN(N=C)C1=C=[P-]N(S(=O)C1=CC(C(=S)CF)=CC=C1C)C,14,0.3647068738937378
0,C(=C1C=C(C#N)C=CN1N=C)=[P-]N(C)S(=O)C1C(C)=CC=C(C=1)C(CF)=S,15,0.3647068738937378
2,O=S(N(C)[P-]=C=C1C=C(C#N)C=CN1N=C)C1C(C)=CC=C(C=1)C(CF)=S,16,0.3647068738937378
2,FCC(C1C=C(S(N(C)[P-]=C=C2C=C(C#N)C=CN2N=C)=O)C(C)=CC=1)=S,17,0.3647068738937378
2,CC1C(S(=O)N([P-]=C=C2N(N=C)C=CC(=C2)C#N)C)=CC(C(CF)=S)=CC=1,18,0.3647068738937378
2,C1C=C(C)C(S(=O)N([P-]=C=C2N(N=C)C=CC(=C2)C#N)C)=CC=1C(=S)CF,19,0.3647068738937378
1,O=S(C1=CC(C(=S)CF)=CC=C1C)N([P-]=C=C1C=C(C#N)C=CN1N=C)C,20,0.3647068738937378
0,C1C=C(C(CF)=S)C=C(S(=O)N(C)[P-]=C=C2N(C=CC(=C2)C#N)N=C)C=1C,21,0.3647068738937378
1,N([P-]=C=C1C=C(C#N)C=CN1N=C)(S(=O)C1=CC(=CC=C1C)C(=S)CF)C,22,0.3647068738937378
1,C1C(=C=[P-]N(C)S(C2C(=CC=C(C=2)C(=S)CF)C)=O)N(C=CC=1C#N)N=C,23,0.3647068738937378
1,[P-](N(C)S(=O)C1=CC(=CC=C1C)C(=S)CF)=C=C1N(C=CC(=C1)C#N)N=C,24,0.3647068738937378
1,N1(N=C)C(C=C(C=C1)C#N)=C=[P-]N(S(C1=CC(=CC=C1C)C(CF)=S)=O)C,25,0.3647068738937378
1,N(C)([P-]=C=C1N(C=CC(=C1)C#N)N=C)S(=O)C1=CC(C(CF)=S)=CC=C1C,26,0.3647068738937378
1,N(N1C(C=C(C#N)C=C1)=C=[P-]N(C)S(C1C(C)=CC=C(C=1)C(=S)CF)=O)=C,27,0.3647068738937378
1,FCC(C1=CC=C(C(=C1)S(N(C)[P-]=C=C1N(C=CC(C#N)=C1)N=C)=O)C)=S,28,0.3647068738937378
1,CN(S(=O)C1C(=CC=C(C(=S)CF)C=1)C)[P-]=C=C1N(N=C)C=CC(=C1)C#N,29,0.3647068738937378
1,CN(S(C1=CC(C(CF)=S)=CC=C1C)=O)[P-]=C=C1N(C=CC(C#N)=C1)N=C,30,0.3647068738937378
0,C1(=CC(C(CF)=S)=CC=C1C)S(=O)N([P-]=C=C1N(N=C)C=CC(=C1)C#N)C,31,0.3647068738937378
0,C=NN1C(=C=[P-]N(S(=O)C2C(C)=CC=C(C(=S)CF)C=2)C)C=C(C#N)C=C1,32,0.3647068738937378
0,C1(C#N)=CC(=C=[P-]N(S(=O)C2C(=CC=C(C=2)C(CF)=S)C)C)N(C=C1)N=C,33,0.3647068738937378
0,C1(C#N)=CC(N(N=C)C=C1)=C=[P-]N(S(C1=CC(=CC=C1C)C(=S)CF)=O)C,34,0.3647068738937378
0,CC1C(=CC(C(CF)=S)=CC=1)S(=O)N(C)[P-]=C=C1N(C=CC(C#N)=C1)N=C,35,0.3647068738937378
0,N1(C(C=C(C=C1)C#N)=C=[P-]N(C)S(=O)C1C(C)=CC=C(C(=S)CF)C=1)N=C,36,0.3647068738937378
0,C1(S(N(C)[P-]=C=C2N(N=C)C=CC(C#N)=C2)=O)C(C)=CC=C(C=1)C(=S)CF,37,0.3647068738937378
0,C1=C(S(=O)N(C)[P-]=C=C2N(C=CC(C#N)=C2)N=C)C(C)=CC=C1C(CF)=S,38,0.3647068738937378
0,C=NN1C(C=C(C=C1)C#N)=C=[P-]N(S(C1=CC(=CC=C1C)C(=S)CF)=O)C,39,0.3647068738937378
0,O=S(C1C(C)=CC=C(C(=S)CF)C=1)N(C)[P-]=C=C1C=C(C=CN1N=C)C#N,40,0.3647068738937378
0,C(=S)(CF)C1C=C(C(=CC=1)C)S(=O)N([P-]=C=C1N(C=CC(C#N)=C1)N=C)C,41,0.3647068738937378
0,C1=C(C(=CC=C1C(=S)CF)C)S(N([P-]=C=C1C=C(C#N)C=CN1N=C)C)=O,42,0.3647068738937378
